Customs Office;; Location;; Last updated;; Commercial Flow - Canada bound;; Commercial Flow - U.S. bound;; Travellers Flow - Canada bound;; Travellers Flow - U.S. bound;;
St. Stephen;; St. Stephen, NB/Calais, ME;; 2017-03-04 11:58 AST;; Not applicable;; --;; No delay;; --;; 
St. Stephen 3rd Bridge;; St. Stephen, NB/Calais, ME;; 2017-03-04 12:04 AST;; No delay;; --;; No delay;; --;; 
Edmundston;; Edmundston, NB/Madawaska, ME;; 2017-03-04 12:06 AST;; No delay;; --;; No delay;; --;; 
Woodstock Road;; Belleville, NB/Houlton, ME;; 2017-03-04 11:23 AST;; No delay;; --;; No delay;; --;; 
Stanstead;; Stanstead, QC/Derby Line, VT;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
St-Armand/Philipsburg;; St. Armand, QC/Highgate Springs, VT;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
St-Bernard-de-Lacolle;; Lacolle, QC/Champlain, NY;; 2017-03-04 11:07 EST;; No delay;; --;; No delay;; --;; 
Cornwall;; Cornwall, ON/Rooseveltown, NY;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
Prescott;; Prescott, ON/Ogdensburg, NY;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
Thousand Islands Bridge;; Lansdowne, ON/Alexandria Bay, NY;; 2017-03-04 08:14 EST;; No delay;; --;; No delay;; --;; 
Sault Ste. Marie;; Sault Ste. Marie, ON/Sault Ste. Marie, MI;; 2017-03-03 15:14 EST;; No delay;; --;; No delay;; --;; 
Fort Frances Bridge;; Fort Frances, ON/International Falls, MN;; 2017-03-04 09:54 CST;; No delay;; --;; No delay;; --;; 
Queenston-Lewiston Bridge;; Queenston, ON/Lewiston, NY;; 2017-03-04 11:10 EST;; 1 minute;; --;; 1 minute;; --;; 
Rainbow Bridge;; Niagara Falls, ON/Niagara Falls, NY;; 2017-03-04 10:45 EST;; Not applicable;; --;; No delay;; --;; 
Peace Bridge;; Fort Erie, ON/Buffalo, NY;; 2017-03-04 11:10 EST;; 5 minutes;; --;; 14 minutes;; --;; 
Blue Water Bridge;; Sarnia, ON/Port Huron, MI;; 2017-03-04 10:50 EST;; No delay;; --;; No delay;; --;; 
Windsor and Detroit Tunnel;; Windsor, ON/Detroit, MI;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
Ambassador Bridge;; Windsor, ON/Detroit, MI;; 2017-03-04 11:14 EST;; No delay;; --;; No delay;; --;; 
Emerson;; Emerson, MB/Pembina, ND;; 2017-03-04 10:14 CST;; No delay;; --;; No delay;; --;; 
North Portal;; North Portal, SK/Portal, ND;; 2017-03-04 09:08 MST;; No delay;; --;; No delay;; --;; 
Coutts;; Coutts, AB/Sweet Grass, MT;; 2017-03-04 09:11 MST;; No delay;; --;; No delay;; --;; 
Abbotsford-Huntingdon;; Huntingdon, BC/Sumas, WA;; 2017-03-04 08:06 PST;; No delay;; --;; No delay;; --;; 
Aldergrove;; Aldergrove, BC/Lynden, WA;; 2017-03-04 08:10 PST;; No delay;; --;; 32 minutes;; --;; 
Pacific Highway;; Surrey, BC/Blaine, WA;; 2017-03-04 08:10 PST;; No delay;; --;; No delay;; --;; 
Douglas (Peace Arch);; Surrey, BC/Blaine, WA;; 2017-03-04 08:10 PST;; Not applicable;; --;; 32 minutes;; --;; 
Boundary Bay;; Delta, BC/Point Roberts, WA;; 2017-03-04 08:00 PST;; No delay;; --;; No delay;; --;; 
